 Services,First Name,Last Name,Agency,Title,Service Type,Population,Hours of operation,Street Address,Suite/Floor/Dept./Room,State,City,Zip,Phone,Email,Website,,
EES,,,Homeless CalWORKs Families Project,,"Counseling, case management, housing links, employment resources, children services",,,3350 Aerojet Ave,,CA,El Monte,91731,323.242.5000,,www.shieldsforfamilies.org,,
SS,,,Homeless CalWORKs Families Project,,"Counseling, case management, housing links, employment resources, children services",,,3350 Aerojet Ave,,CA,El Monte,91731,323.242.5000,,www.shieldsforfamilies.org,,
MHS,,,"Homeless CalWORKs Families Project ""HCFP""",,Mental Health Service Provider,Low-income,,,,CA,,,626.974.0770,,,,
SS,,,"Homeless CalWORKs Families Project ""HCFP""",,Mental Health Service Provider,Low-income,,,,CA,,,626.974.0770,,,,
SS,John,Sharkey,Homes for Life Foundation,Housing Development Manager,"Mental Health Programs, Independent Living, Transitional Housing",Homeless and chronically mentally ill.,Mon-Fri 9-5:30pm,8939 S. Sepulveda Blvd.,Ste 460,CA,Los Angeles,90045,"310.337.7417
ext. 36",,www.homesforlife.org,confirmed,
MHS,John,Sharkey,Homes for Life Foundation,Housing Development Manager,"Mental Health Programs, Independent Living, Transitional Housing",Homeless and chronically mentally ill.,Mon-Fri 9-5:30pm,8939 S. Sepulveda Blvd.,Ste 460,CA,Los Angeles,90045,"310.337.7417
ext. 36",,www.homesforlife.org,confirmed,
BH,John,Sharkey,Homes for Life Foundation,Housing Development Manager,"Mental Health Programs, Independent Living, Transitional Housing",Homeless and chronically mentally ill.,Mon-Fri 9-5:30pm,8939 S. Sepulveda Blvd.,Ste 460,CA,Los Angeles,90045,"310.337.7417
ext. 36",,www.homesforlife.org,confirmed,
BH,Anitra,French,Hope Resource Group,,"Supportive housing available in the Pomona Ontario areas.  Single parents with children, married couples with children, minor cases of mental illness, at-risk of homelessness, probation, re-entry, seniors/disabled/receiving SSI, Chemical dependency treatment.",,Call office for availability,,,CA,Pomona,,909.994.1774,,,left message 9/27,
MHS,Anitra,French,Hope Resource Group,,"Supportive housing available in the Pomona Ontario areas.  Single parents with children, married couples with children, minor cases of mental illness, at-risk of homelessness, probation, re-entry, seniors/disabled/receiving SSI, Chemical dependency treatment.",,Call office for availability,,,CA,Pomona,,909.994.1774,,,left message 9/27,
SS,Anitra,French,Hope Resource Group,,"Supportive housing available in the Pomona Ontario areas.  Single parents with children, married couples with children, minor cases of mental illness, at-risk of homelessness, probation, re-entry, seniors/disabled/receiving SSI, Chemical dependency treatment.",,Call office for availability,,,CA,Pomona,,909.994.1774,,,left message 9/27,
SS,,,Hope Resource Group,,"Service housing available in the Pomona and Ontario are Single Mothers, Mothers with Children, Single Fathers with Children, Married Couples w/children, minor cases of mental illness, at-risk of homelessness, probation, re-entry, seniors/disabled, receiving ski, chemical dependency/receiving treatment.",,,,,CA,,,"Anitra French
Community Relations officer
909.994.1774",,,,
BH,,,Hope Resource Group,,"Service housing available in the Pomona and Ontario are Single Mothers, Mothers with Children, Single Fathers with Children, Married Couples w/children, minor cases of mental illness, at-risk of homelessness, probation, re-entry, seniors/disabled, receiving ski, chemical dependency/receiving treatment.",,,,,CA,,,"Anitra French
Community Relations officer
909.994.1774",,,,
DV,Pat,Bell,House of Ruth,Project Manager Transitional Housing,Provides emergency shelter and transitional housing for women and children who are victims of domestic violence.,,"24 hour hotline, Office 9am-5pm.",599 N. Main St,,CA,,91768,"Pomona Outreach Center 
909.623.4364 

Ontario Outreach Center 
909.391.4515 

Hotline 
909.988.5559",pbell@houseofruthinc.org,www.houseofruthinc.org,confirmed,
ES,Pat,Bell,House of Ruth,Project Manager Transitional Housing,Provides emergency shelter and transitional housing for women and children who are victims of domestic violence.,,"24 hour hotline, Office 9am-5pm.",599 N. Main St,,CA,,91768,"Pomona Outreach Center 
909.623.4364 

Ontario Outreach Center 
909.391.4515 

Hotline 
909.988.5559",pbell@houseofruthinc.org,www.houseofruthinc.org,confirmed,
BH,Pat,Bell,House of Ruth,Project Manager Transitional Housing,Provides emergency shelter and transitional housing for women and children who are victims of domestic violence.,,"24 hour hotline, Office 9am-5pm.",599 N. Main St,,CA,,91768,"Pomona Outreach Center 
909.623.4364 

Ontario Outreach Center 
909.391.4515 

Hotline 
909.988.5559",pbell@houseofruthinc.org,www.houseofruthinc.org,confirmed,
SS,,,Housing Rights Center (HRC) Pasadena,,"HRC provides free landlord-tenant counseling, discrimination complaint investigation, educational programs, and an affordable housing listing",All,Mon-Fri 8:30am-5pm,1020 N. Fair Oaks Ave,,CA,Pasadena,91103,Marisol Arzate Director of Outreach and Education 800-477-5977,,www.housingrightscenter.org,,
HCS,,,Housing Rights Center Walk-in Clinic,,,*Chinese and Spanish Services,Friday 2-5pm,101 S. First St.,,CA,Alhambra,91801,800.477.5977,,www.hrc-la.org,,
SS,,,Housing Rights Center- Los Angeles,,"HRC provides free landlord-tenant counseling, discrimination complaint investigation, educational programs, and an affordable housing listing",All,Mon-Fri 8:30am-5pm,3255 Wilshire Blvd,STE 1150,CA,"Los Angeles,",90010,Marisol Arzate Director of Outreach and Education 800-477-5977,,www.housingrightscenter.org,,
SS,Celina,Alvarez,Housing Works,Home First Case Worker,Assists Agencies/Service providers with supportive services for the chronically homeless.,Agencies/services providers assisting the chronically homeless.,Mon-Fri 9am-5pm,1277 North Wilcox Ave,,CA,Los Angeles,90038,323.466.0042,,www.housingworks.org,confirmed,
SS,Maria,Burke,HPRP Pomona Plus,Technical Specialist,Provides financial assistance and services to either prevent individuals and families from becoming homeless or to help those who are experiencing homelessness to be quickly re-housed and stabilized.,,,248 Monterey,,CA,Pomona,91767,909.622.2091,Maria_Burke@ci.pomona.ca.us,,number didn't work,
CDR,,,"Ideal Care and Health Services Inc 
",,Clients referred from the court/judicial system (other than DUI/DWI); Adolescents; Adult women; Adult men Substance treatment services; Transitional housing or halfway house,,909-822-1612,"4 Village Loop Road Pomona, CA 91766",,CA,Pomona,91766,909-822-1612,,,,
FB,,,Iglesia Esmirna Cuadrangular,,Food Pantry,,Sat 10am-12pm,14832 Valley Blvd,,CA,La Puente,91744,626.343.6175,,,confirmed,
FB,,,Iglesia Nueva Vida,,Food Pantry,,"Fri 6-8:00pm, Sat 9-11am",18555 Fajardo St,,CA,Rowland Heights,91748,714.526.4714,,,confirmed,
FB,,,Imani Economic & Community,,Food Pantry,,909)621-5369,20 Hidden Valley Rd,,CA,Pomona,91769,909.620.9161,,,confirmed,
FB,,,Imani Temple Christian Fellowship,,Food Bank,,Sun 4-6pm,510 W. Monterey Ave,,CA,Pomona,91768,,,,,
SS,Mary,Sanders,Info Line 211 LA County,211 Community Liaison,Multilingual referral and resource services. Provides current information about Los Angeles Country resources.,,24 hour,,,CA,,,"800.339.6993

211",,www.211.la.org,confirmed,
LS,,,Inglewood Courthouse- Legal Aid Foundation of Los Angeles (LAFLA),,Low-cost legal service,Low-income community,"Walk-ins Only: M, T, W, Th 9am-12pm, 1:30pm-4pm; Fri 9am-12pm",1 E. Regent St,#107,CA,Inglewood,90301,,,,,
SS,,,Inland Empire United Way,,Resource and referral for social services,,Mon-Fri 8:30am-5pm,9644 Hermosa Ave,,CA,Rancho Cucamonga,,909.980.2857,,www.ieuw.org,automated system- Shakeh can you follow up?,
FB,,,Inland Valley Hope Partners,,Food Pantry,,M-Th 9am-3pm,904 E. California St.,,CA,Ontario,91768,909.391.4882,,,,
FB,,,Inland Valley Hope Partners,,Food Bank/ First time every 30 days after applicant will receive 5 days worth of food ( 15 meals),"All no, very low, low income population, homeless",M-Th 9am-3pm/ 3rd Th/month 5-7pm/ 3rd Sunday/month 5-7pm,"209 W. Pearl, St.",,CA,Pomona,91766,909-622-3806 X301,,www.inlandvalleyhopepartners.org,,
FB,,,Inland Valley Hope Partners,,Food Pantry. Twice/month distribution USDA food,"All no, very low, low income population, homeless",M-THz 9am-3pm/ 3rd Th/month 5-7pm/ 3rd Sunday/month 5-7pm,810 S. White Ave,,CA,Pomona,91766,909-622-3806,,www.inlandvalleyhopepartners.org,,
FB,,,Inland Valley Hope Partners,,Food Bank/ First time every 30 days after applicant will receive 5 days worth of food ( 15 meals),"All no, very low, low income population, homeless",M-W-Fri 2-4pm,110 E. 3rd St.,,CA,Pomona,91773,909-622-3806,,www.inlandvalleyhopepartners.org,,
ES,,,Inland Valley Hope Partners,,"Provides up to 30-90 days of residential emergency shelter to single women and families.  Services include room and board, case management, individual counseling, support groups, parenting classes, savings programs, tutoring and homework assistance for children. Also preparation for permanent housing. possibly assistance rapid-housing program ( for moves into San Bernardino County).",Homeless families and single women,Mon.-Thur. 8:00am-12:30p.m. *Must call for eligibility screening,1753 N. Park Ave.,,CA,Pomona,91768,909-622-3806 X107,wytskev@inlandvalleyhopepartners.org,www.inlandvalleyhopepartners.org,left message 9/27,
SS,,,Inland Valley Hope Partners,,"Provides up to 30-90 days of residential emergency shelter to single women and families. Services include room and board, case management, individual counseling, support groups, parenting classes, savings programs, tutoring and homework assistance for children. Also preparation for permanent housing. possibly assistance rapid-housing program ( for moves into San Bernardino County).",Homeless families and single women,Mon.-Thur. 8:00am-12:30p.m. *Must call for eligibility screening,1753 N. Park Ave.,,CA,Pomona,91768,909-622-3806 X107,wytskev@inlandvalleyhopepartners.org,www.inlandvalleyhopepartners.org,left message 9/27,
CM,,,Inland Valley Hope Partners,,"Provides up to 30-90 days of residential emergency shelter to single women and families. Services include room and board, case management, individual counseling, support groups, parenting classes, savings programs, tutoring and homework assistance for children. Also preparation for permanent housing. possibly assistance rapid-housing program ( for moves into San Bernardino County).",Homeless families and single women,Mon.-Thur. 8:00am-12:30p.m. *Must call for eligibility screening,1753 N. Park Ave.,,CA,Pomona,91768,909-622-3806 X107,wytskev@inlandvalleyhopepartners.org,www.inlandvalleyhopepartners.org,left message 9/27,
MHS,,,Inland Valley Hope Partners,,"Provides up to 30-90 days of residential emergency shelter to single women and families. Services include room and board, case management, individual counseling, support groups, parenting classes, savings programs, tutoring and homework assistance for children. Also preparation for permanent housing. possibly assistance rapid-housing program ( for moves into San Bernardino County).",Homeless families and single women,Mon.-Thur. 8:00am-12:30p.m. *Must call for an appointment to apply for shelter.,1753 N. Park Ave.,,CA,Pomona,91768,909-622-3806 X107,wytskev@inlandvalleyhopepartners.org,www.inlandvalleyhopepartners.org,left message 9/27,
EES,,,Inland Valley Hope Partners,,"Provides up to 30-90 days of residential emergency shelter to single women and families. Services include room and board, case management, individual counseling, support groups, parenting classes, savings programs, tutoring and homework assistance for children. Also preparation for permanent housing. possibly assistance rapid-housing program ( for moves into San Bernardino County).",Homeless families and single women,Mon.-Thur. 8:00am-12:30p.m. *Must call for eligibility screening,1753 N. Park Ave.,,CA,Pomona,91768,909-622-3806 X107,wytskev@inlandvalleyhopepartners.org,www.inlandvalleyhopepartners.org,left message 9/27,
FB,,,Inland Valley Hope Partners,,Food Distribution. First time and every 30 days after applicants will receive 5 days worth of food (15 meals).,,M-Th: 9am-3:00pm,1095 W. Grand aver,,CA,Pomona,91766,909.622.7278,,,,
FB,,,Inland Valley Hope Partners,,Food Pantry,,M-W-Fri 2pm-4pm,110 E. 3rd St,,CA,San Dimas,91733,,,,,
O,,,Inland Valley Hope Partners: Certified Farmers Market,,"Fresh fruits and vegetables; accepting food stamps and WIC; offers Market Match to shoppers presenting SSI, SSDI, EBT, and other programs.",all residents,Saturdays 7:30am-11:30am,Garey Ave. and Pearl St,,CA,Pomona,91766,909-622-3806,,www.inlandvalleyhopepartners.org,,
FB,,,Inland Valley Hope Partners: Certified Farmers Market,,Fresh fruits and vegetable's; accepting food stamps and WIC,,Saturdays 7:30-11:30am,Garey Ave. and Pearl St,,CA,Pomona,,,,,,
SS,,,Inland Valley Volunteer & Resource Center,,Recruitment and referral of volunteer retirees to over 350 non-profit partners,,"Mon-Weds 9-1145am, 1-3:45pm",436 W. Fourth St.,STE. 201,CA,Pomona,,909.623.1284,,www.manta.com/c/mmyv22l/inland-valley-volunteer-and-resource-center,left message 9/27,
LS,,,Inner City Law Center,,Free Legal Assistance,Low-income community,"Walk-ins welcome: M-F, 8:30am-12pm; 1-4pm",506 S. Main Street,,CA,Los Angeles,90013,,,,,
SS,Dianne,Jackson,Integrated Treatment Program for Co-occurring Disorders-Homeless Health Care LA,Director of Operations,Prevention of Substance Abuse and Mental Illness,"high-risk youth, youth in Tribal communities, and military families",Call for more information,2330 Beverly Blvd.,,CA,Los Angeles,90057,213.381.0510,,,sent her an email with our questions.,
MHS,Dianne,Jackson,Integrated Treatment Program for Co-occurring Disorders-Homeless Health Care LA,Director of Operations,Prevention of Substance Abuse and Mental Illness,"high-risk youth, youth in Tribal communities, and military families",Call for more information,2330 Beverly Blvd.,,CA,Los Angeles,90057,213.381.0510,,,sent her an email with our questions.,
FB,,,Inter City Volunteers,,Food assistance. Provides hot meals to homeless individuals and families living in motels.,,Tuesday to Friday 9:00a.m. to 5:30p.m.,P.O. Box 209,,CA,Pomona,91769,909.865.8853,,,left message 9/27,
FB,,,Interfaith Food Center,,Food Pantry,,"Mon, Tues, Thurs, Fri- 9am-12pm, Tues 5-7pm",14545 Leffingwell Rd,,CA,Whittier,90604,562.903.1478,,,confirmed,
DV,,,Jenesse Center,,DV hotline,*Spanish Spoken,24hr DV hotline,,,CA,South L.A.,,800.479.7328,,,,
HCS,Christopher,Mack,"JWCH Institute, Inc.",Lead Outreach Worker,Homeless Health Care,"Low income, Homeless",Call for more information,522 S. San Pedro St.,,CA,Los Angeles,90013,866.733.5924,,www.jwchinstiture.org,left message 9/27,
SS,,,Karesh/Abbey Lane Community Center,,"Homework help, Tutoring, Computer lab., Library, Neighborhood Watch, Information and Referral, etc..",,Call for program hours,662 Karesh Ave.,# 2,CA,Pomona,91767,909.629.2796,,,number didn't work,
EES,,,Karesh/Abbey Lane Community Center,,"Homework help, Tutoring, Computer lab., Library, Neighborhood Watch, Information and Referral, etc..",,Call for program hours,662 Karesh Ave.,#2,CA,Pomona,91767,909.629.2796,,,number didn't work,
HCS,Michelle,Parrella,L.A. Care Health Plan,LCSW Care Management Social Worker,Work with MediCal which offers insurance for homeless. Apply for insurance through medical.,Individuals with MediCal.,Mon-Fri 7am-7pm.,1055 W. 7th St.,,CA,Los Angeles,90017,213.694.1250,,www.lacare.org,confirmed,
LS,,,LA Center for Law and Justice,,Free legal assistance for low-income persons living in Northeast and East Los Angeles. Bring proof of income.,Low-income community,"Walk-ins welcome: Mon 1-4pm, Wed 2-6:30pm",1241 S. Soto Street,STE 102,CA,Los Angeles,90023,323.980.3500,,,,
MHS,Dwayne,Washington,LA County Department of Mental Health,Mental Health Service Coordinator ll Service Area 3,,,,301 E. Foothill Blvd.,,CA,Arcadia,91006,626.471.6536,dwwashington@dmh.lacounty.gov,www.dmh.lacounty.gov,left message 9/27,
HCS,Way,Wen,LA County Department of Public Health,Community Liaison PHN,"TB Screening STD Screening, if no insurance we help with immunizations.",Anyone in LA county.,Call for more information,330 W. Maple Ave.,,CA,Monrovia,91016,626.301.1938,,www.publichealth.lacounty.gov,confirmed,
HCS,Marie,Kreimann,LA County Department of Public Health,,"Free testing and treatment for STD's, free immunizations for uninsured, free testing and treatment of tuberculosis for pre-school and HeadStart, free flu shots from Oct.26-Feb. 28th, free monthly mammograms.",,"Hours of operation vary by service, call for inquiry.",750 S. Park Ave,,CA,Pomona,91766,909.868.0235,,www.publichealth.lacounty.gov,confirmed,
HCS,Mercy,Alvarez,LA County Department of Public Health,Public Health Nurse,"TB Screening for homeless shelters, STD screening and treatment. free immunizations for uninsured. Limited supply immunizations for adults.",All homeless.,"Hours of operation vary by service, call for inquiry.",750 S. Park Ave,,CA,Pomona,91766,909.868.0235,malvarez@ph.lacounty.gov,www.publichealth.lacounty.gov,confirmed,
B,,,"LA County Dept of Military and Veterans Affairs 
 ",,"Counsels veterans, their dependents and survivors regarding federal and state benefits such as; compensation, pensions, disability, education, hospitalization, home loans, etc., and provides referrals concerning drug and alcohol abuse and post-traumatic stress disorders.",,Mon. to Thurs.: 8am to 5pm,"2615 S. Grand Ave.,#100 Los Angeles, CA Local Field Office: 1427 W. Covina Parkway West Covina, CA 91790",,CA,West Covina,91790,"(626) 813-3402, (626)338-4481fax",,,,
MHS,Anna,Nudelman,LA County DMH,Adult Housing Navigator/ Mental Health Services Coordinator I,,,,6800 Owensmouth Ave.,Suite 160,CA,Canoga Park,91303,818.610.6703,anudelman@dmh.lacounty.gov,www.dmh.lacounty.gov,left message 9/27,
HCS,,,LA County Public Social Services,,"CalWORKs, food stamps and Medi-Cal applicants.",Must have ID and all necessary documents to receive prompt service.,Mon-Fri 8am-5pm,3350 Aerojet Ave,,CA,El Monte,91731,626.569.3100,,www.ladpss.org,,
FB,,,LA County Public Social Services,,"CalWORKs, food stamps, GR, Media-Cal",*Spanish spoken,Mon-Fri 8am-5pm, 955 N. Lake Ave.,Pasadena District Office #3,CA,Pasadena,91104,626.791.6333,,,,
HCS,,,LA County Public Social Services,,"CalWORKs, food stamps, GR, Medi-Cal",*Spanish spoken,Mon-Fri 8am-5pm, 955 N. Lake Ave.,Pasadena District Office #3,CA,Pasadena,91104,626.791.6333,,,,
FB,,,LA County Public Social Services,,"Administers CalWORKs, TANF, food stamps, GR and Medi-Cal programs.","*Spanish, Chinese and Vietnamese spoken.",Mon-Fri 8am-5pm, 2040 Holt Ave,POMONA DISTRICT OFFICE 36,CA,Pomona,91768,909.865.5210,,,,
SS,,,LA County Public Social Services,,"Administers CalWORKs, TANF, food stamps, GR and Medi-Cal programs.","*Spanish, Chinese and Vietnamese spoken.",Mon-Fri 8am-5pm, 2040 Holt Ave,POMONA DISTRICT OFFICE 36,CA,Pomona,91768,909.865.5210,,,,
SS,,,LA County Public Social Services,,"Administers CalWORKs, General relief, and refugee resettlement program.","*Spanish, Chinese and Vietnamese spoken.",Mon-Fri 8am-5pm,San Gabriel Valley District 3352 Aerojet Ave,OFFICE #20,CA,San Gabriel,91731,"626.569.3600 

*Child care info- 
626.569.3600",,,,
FB,,,La Puente Spanish S.D.A.,,Food Pantry,,Tuesday 8:30pm-9pm,18047 Valley Blvd,,CA,City of Industry,91744,626.482.3512,,,confirmed,
ES,,,LAHSA,,"Lead agency in the Los Angeles Continuum of care, coordinates and manages funds for programs providing shelter, housing and services to homeless persons in Los Angeles city and county.",,Mon-Fri 8am-5pm,811 Wilshire Blvd,6th floor ,CA,,90017,213.683.3333,,www.lahsa.org,confirmed,
BH,,,LAHSA,,"Lead agency in the Los Angeles Continuum of care, coordinates and manages funds for programs providing shelter, housing and services to homeless persons in Los Angeles city and county.",,Mon-Fri 8am-5pm,811 Wilshire Blvd,6th floor ,CA,,90017,213.683.3333,,www.lahsa.org,confirmed,
PSH,,,LAHSA,,"Lead agency in the Los Angeles Continuum of care, coordinates and manages funds for programs providing shelter, housing and services to homeless persons in Los Angeles city and county.",,Mon-Fri 8am-5pm,811 Wilshire Blvd,6th floor ,CA,,90017,213.683.3333,,www.lahsa.org,confirmed,
SS,,,LAHSA Emergency Response Team,,,,,,,CA,,,213.225.6581,,,,
SS,,,LAHSA INFOline,,"If you or someone you know is homeless in Los Angeles County, call this number",,,,,CA,,,800.339.6993,,,,
SS,,,LAHSA Winter Shelter Hotline,,,,,,,CA,,,800.548.6047,,,,
LS,,,Legal Aid Foundation of Los Angeles (LAFLA),,Free legal assistance for low-income persons living in Los Angeles County,Low-income community,,1550 W. 8th S.,,CA,Los Angeles,90017,213.487.7609,,,,
FB,,,Lincoln Ave. Baptist Church,,Food Pantry,,3rd Weds of the month 10:00am-12:00pm,1180 N. Lincoln Ave,,CA,Pasadena,91103,626.798.9163,,,confirmed,
HCS,,,Lions International,,"Free health, vision, dental, and blood pressure screenings.",Low Income,Special Events,1921 Arroyo Avenue,,CA,Pomona,,,,pomonahostlions@gmail.com,,
SS,Tina,"Marshall, CAS","Little House, Inc.",Executive Director,Drug or alcohol rehabilitation center with a primary focus on substance abuse treatment.,Assisting single women with substance abuse treatment.,8-5pm Mon-Fri,9718 Harvard St.,,CA,Bellflower,90706,562.925.2777,www.littlehouseinc.org,www.littlehouseinc.org,confirmed,
ES,,,Living Alternatives,,Maternity Homes for Single Women or Women with Children,Single women or women with children,,210 N. Citrus Ave.,STE. B,CA,Azusa,91702,818.969.9245,,,,
SS,,,Local Field Office,,Veterans assistance.,Veterans.,,1427 W. Covina Pkwy,,CA,West Covina,91790,626.813.3402,,,,
LS,,,Long Beach Courthouse- Legal Aid Foundation of Los Angeles (LAFLA),,Low-cost legal service,,"Walk-ins Only: M, T, W, Th 9am-12pm, 1:30pm-4pm; Fri 9am-12pm",415 W. Ocean Blvd.,#505,CA,Long Beach,90802,,,,,
HCS,,,Los Angeles Centers got Alcohol and Drug Abuse (L.A. CADA),,"Care of physical well-being, focusing on prevention, treatment and management of illness",,M-Th/8am-9pm; Fri/8am-5pm;Sat/8am-3pm,11015 Bloomfield Ave,,CA,Santa Fe Springs,90670,562-906-2681,,www.lacada.com,,
MHS,Carrie,Bach,Los Angeles County Department of Public Health,"Clinical Nurse Specialist, Homeless outreach","Public agency providing medical, mental health, public health and education services for county residents.",Individuals in need,,241 N. Figueroa St. ,STE 306V,CA,Los Angeles,90012,213.240.7944,,,left message 10/3,
HCS,Carrie,Bach,Los Angeles County Department of Public Health,"Clinical Nurse Specialist, Homeless outreach","Public agency providing medical, mental health, public health and education services for county residents.",Individuals in need,,241 N. Figueroa St. ,STE 306V,CA,Los Angeles,90012,213.240.7944,,,left message 10/3,
EES,Carrie,Bach,Los Angeles County Department of Public Health,"Clinical Nurse Specialist, Homeless outreach","Public agency providing medical, mental health, public health and education services for county residents.",Individuals in need,,241 N. Figueroa St. ,STE 306V,CA,Los Angeles,90012,213.240.7944,,,left message 10/3,
HCS,Marie,Kreimann,Los Angeles County Department of Public Health,"RN, PHN Community Liasion",,,,750 S. Park Ave.,,CA,Pomona,91776,909.868.0257,,,left message 10/3,
DV,,,Los Angeles County Domestic Violence Hotline,,,,24 hour hotline,,,CA,Los Angeles,,800.394.3366,,,,
SS,Nival,Ibrahim,Los Angeles County DPSS,Homeless Case Manager,,,,750 S. Park Ave.,,CA,Pomona,91768,909.397.5507,,,"phone kept ringing, never went to voicemail or picked up. wrong number possibly?",
SS,Kevin,Paris,Los Angeles County Probation Department,Probation Officer,,,,1660 West Mission Blvd,,CA,Pomona,91768,626.357.1619,kevin.paris@probation.lacounty.gov,,left message 10/3,
SS,,,Los Angeles Urban Assistance League,One Stop Center offering employment and vocation training services.,,,M-Th 8:30 a.m. to 5:00 p.m.                           F 8:30a.m. to 4:30 p.m.,264 E. Monterey Ave.,,CA,Pomona,91767,909.623.9741,www.laul.org,www.assistanceleague.net,automated system- Shakeh can you follow up?,
MHS,Kathy,Lopez,Los Angeles Youth Network,,"Shelter services for youth ages 12-17, transitional shelter, independent living programs, counseling, education, enrichment, case management and outreach","Emergency shelter and group services for youth, independent living  for ages17-21.","24/7, Drop in center for youth from 9-4pm.",1754 Taft Ave,,CA,Los Angeles,90028,323.467.8466,,www.layn.org,confirmed,
CM,Kathy,Lopez,Los Angeles Youth Network,,"Shelter services for youth ages 12-17, transitional shelter, independent living programs, counseling, education, enrichment, case management and outreach","Emergency shelter and group services for youth, independent living  for ages17-21.","24/7, Drop in center for youth from 9-4pm.",1754 Taft Ave,,CA,Los Angeles,90028,323.467.8466,,www.layn.org,confirmed,
BH,Kathy,Lopez,Los Angeles Youth Network,,"Shelter services for youth ages 12-17, transitional shelter, independent living programs, counseling, education, enrichment, case management and outreach","Emergency shelter and group services for youth, independent living  for ages17-21.","24/7, Drop in center for youth from 9-4pm.",1754 Taft Ave,,CA,Los Angeles,90028,323.467.8466,,www.layn.org,confirmed,
EES,Kathy,Lopez,Los Angeles Youth Network,,"Shelter services for youth ages 12-17, transitional shelter, independent living programs, counseling, education, enrichment, case management and outreach","Emergency shelter and group services for youth, independent living  for ages17-21.","24/7, Drop in center for youth from 9-4pm.",1754 Taft Ave,,CA,Los Angeles,90028,323.467.8466,,www.layn.org,confirmed,
FB,Frances,Gilek,Love In the Name of Christ (Love INC),,"Emergency food, clothing, baby supplies, linens, bus tickets and referrals to other agencies",Low income and homeless individuals,Mon-Fri 10am-2pm,18821 Arrow Highway,,CA,Covina,91722,626.858.3300,,www.loveinc.org,confirmed,
CA,Frances,Gilek,Love In the Name of Christ (Love INC),,"Emergency food, clothing, baby supplies, linens, bus tickets and referrals to other agencies",Low income and homeless individuals,Mon-Fri 10am-2pm,18821 Arrow Highway,,CA,Covina,91722,626.858.3300,,www.loveinc.org,confirmed,
SS,Frances,Gilek,Love In the Name of Christ (Love INC),,"Emergency food, clothing, baby supplies, linens, bus tickets and referrals to other agencies",Low income and homeless individuals,Mon-Fri 10am-2pm,18821 Arrow Highway,,CA,Covina,91722,626.858.3300,,www.loveinc.org,confirmed,
SS,,,LULAC/Educational Center,,Help with Financial Aid paperwork/Help with homework,,,360 E. Holt Ave.,,CA,Pomona,,909.623.0588,,www.lnesc.org,"number didn't work, not listed on website.",
EES,,,LULAC/Educational Center,,Help with Financial Aid paperwork/Help with homework,,,360 E. Holt Ave.,,CA,Pomona,,909.623.0588,,www.lnesc.org,"number didn't work, not listed on website.",
CA,,,Mckenny-Vento Homeless Education Support,,"Help with school, health, shoes, clothing, transportation, case worker",,,1690 S. White Ave.,,CA,Pomona,91766,909.397.5045,,,number didn't work,
SS,,,Mckenny-Vento Homeless Education Support,,"Help with school, health, shoes, clothing, transportation, case worker",,,1690 S. White Ave.,,CA,Pomona,91766,909.397.5045,,,number didn't work,
CM,,,Mckenny-Vento Homeless Education Support,,"Help with school, health, shoes, clothing, transportation, case worker",,,1690 S. White Ave.,,CA,Pomona,91766,909.397.5045,,,number didn't work,
EES,,,Mckenny-Vento Homeless Education Support,,"Help with school, health, shoes, clothing, transportation, case worker",,,1690 S. White Ave.,,CA,Pomona,91766,909.397.5045,,,number didn't work,
FB,,,Meals on Wheels,,Provides home delivered meals to homebound seniors and persons with disabilities.                      You must call first to apply for this program to be put on the delivery schedule.,,Meals are  delivered on                            M-F 10:45a.m. to Noon,845 E. Bonita Ave.,,CA,Pomona,91767,909.621.4018,,www.mowaa.org,confirmed,
FB,Tina,Gonzalez,Mercy House,,"Motel vouchers and food vouchers (only one time per person, dependent on availability) Gift cards (verification of employment required) hygiene kits, diapers, laundry detergent, feminine hygiene products, bus passes (for those with medical appointments or proof of employment) assistance with DL, ID and/or birth certificates, telephone access, referrals of reemployment, shelter, food, and housing.",Homeless or at risk become homeless,"Mon-Fri 9am-2pm last client at 12:30 pm Homeless Served Mon, Wed, Thurs & Fri, families served 1st and 3rd Tues of every month.",905 E. Holt Blvd.,,CA,Ontario,91764,909.391.2630,,www.mercyhouse.net,confirmed,
ES,Tina,Gonzalez,Mercy House,,"Motel vouchers and food vouchers (only one time per person, dependent on availability) Gift cards (verification of employment required) hygiene kits, diapers, laundry detergent, feminine hygiene products, bus passes (for those with medical appointments or proof of employment) assistance with DL, ID and/or birth certificates, telephone access, referrals of reemployment, shelter, food, and housing.",Homeless or at risk become homeless,"Mon-Fri 9am-2pm last client at 12:30 pm Homeless Served Mon, Wed, Thurs & Fri, families served 1st and 3rd Tues of every month.",905 E. Holt Blvd.,,CA,Ontario,91764,909.391.2630,,www.mercyhouse.net,confirmed,
