StreetAddress,City,State,Zip,AUTO_UNIQUE_ID_2016-07-07_marky_r_dop_services,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType
1500 S. Hyacinth Ave,San Gabriel/Pomona,CA,91791,103,USCGeocoder,76,1,4.1,,70cae1e0-79c3-4268-93a3-e793fbb21ed4,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1986.7036332178,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.047321569,-117.9148058376,Relaxed,TwoThousandTen,81638,4472,31084,90810,0,31100,2010,2,4080.03,37,6,1,ResidenceStreetAddress
1501 Del Norte St.,West Covina,CA,91016,104,USCGeocoder,162,1,4.1,,3a5e8826-f704-420d-a44d-baa4c309ddd6,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.143769,-117.999476,Exact,TwoThousandTen,48648,4472,31084,93510,0,31100,3006,3,4311,37,6,4,ResidenceZIP
1501 W. 9th St,Upland,CA,91786,105,USCGeocoder,60,1,4.1,,996fce6b-bae9-4d54-84cd-9e33760223b8,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4040.7204304934,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0963777228,-117.6797762216,Relaxed,TwoThousandTen,81344,4472,,92260,0,40140,3016,3,8.23,71,6,1,ResidenceStreetAddress
1501 W. Cameron Ave.,West Covina,CA,91790,106,USCGeocoder,87,1,4.1,,ebd9280a-416f-4fb5-9d1c-4e761625517f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3639.2730479604,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0679054968,-117.9411445181,Exact,TwoThousandTen,84200,4472,31084,90810,0,31100,1010,1,4067.02,37,6,1,ResidenceStreetAddress
1506 North Lake Ave,Pasadena,CA,91104,107,USCGeocoder,28,1,4.1,,aaf74a75-90dc-4fb5-bd4d-81541cf5fafb,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1610.3455065566,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.171844001,-118.1320210331,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,3009,3,4614,37,6,1,ResidenceStreetAddress
151 E. Second St.,Pomona,CA,91766,108,USCGeocoder,16,1,4.1,,06400162-eda0-4f3a-8c01-ec5f7f712544,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,263.9574059844,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0581075021,-117.7495576594,Relaxed;Soundex,TwoThousandTen,58072,4472,31084,90810,0,31100,2024,2,4088,37,6,1,ResidenceStreetAddress
15135 Fair Grove Ave,La Puente,CA,91744,109,USCGeocoder,24,1,4.1,,b04d19c4-3ccb-4e06-9848-6021a46fa9e7,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1004.1218626499,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0440415576,-117.9515515278,Relaxed;Soundex,TwoThousandTen,40340,4472,31084,90810,0,31100,1020,1,4075.01,37,6,1,ResidenceStreetAddress
1515 W. Mission Blvd.,Pomona,CA,91766,110,USCGeocoder,139,1,4.1,,6213fa14-9957-46e4-8e48-5601bce146e5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7823.9802884329,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0546028519,-117.7728215113,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,1014,1,4024.02,37,6,1,ResidenceStreetAddress
1520 W. Cameron Ave.,West Covina,CA,91790,111,USCGeocoder,52,1,4.1,,538cabba-f9ec-417b-af9f-213d410ba09f,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,6542.1833424568,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0678394423,-117.9421078695,Relaxed,TwoThousandTen,84200,4472,31084,90810,0,31100,1012,1,4067.02,37,6,1,ResidenceStreetAddress
1524 Fremont Ave,South Pasadena,CA,91030,112,USCGeocoder,23,1,4.1,,8b478a42-667b-49dc-9f17-cbb10659330e,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5390.6359456182,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.1082388897,-118.1526726403,Relaxed,TwoThousandTen,73220,4472,31084,92400,0,31100,2000,2,4807.04,37,6,1,ResidenceStreetAddress
1550 W. 8th S.,Los Angeles,CA,90017,113,USCGeocoder,62,1,4.1,,e9920437-a6e4-42c4-abb2-bc571c54fbb2,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1147.4065717161,ArealInterpolationGeometricCentroid,Parcel,90.8727810651,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0519585238,-118.2720604377,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,1006,1,2093,37,6,1,ResidenceStreetAddress
1555 S Garey Ave,Pomona,CA,91767,114,USCGeocoder,20,1,4.1,,cea70a57-bddb-40f1-8241-60ad8f189561,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4363.7893477986,LinearInterpolationAddressRange,StreetSegment,96.0059171598,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0435390343,-117.7497127379,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1000,1,4030,37,6,1,ResidenceStreetAddress
1570 Colorado Blvd,Pasadena,CA,91107,115,USCGeocoder,158,1,4.1,,2d8eab94-968c-4f95-a1d0-6861441faa96,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.152009,-118.088972,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,1016,1,4629,37,6,4,ResidenceZIP
15701 Hill St,La Puente,CA,91744,116,USCGeocoder,19,1,4.1,,2bc3836d-c9f0-4b6b-a7b0-1cf4f2253d11,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2904.5009746056,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.026363293,-117.9505361574,Relaxed,TwoThousandTen,40340,4472,31084,90810,0,31100,3017,3,4077.02,37,6,1,ResidenceStreetAddress
1575 N. White Ave.,Pomona,CA,91767,117,USCGeocoder,75,1,4.1,,b670a82b-287b-4d34-9c1e-d65510248677,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,14219.0539119539,LinearInterpolationAddressRange,StreetSegment,96.0059171598,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0772902872,-117.7596783427,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,2006,2,4022,37,6,1,ResidenceStreetAddress
15942 Amar Rd.,City of Industry,CA,91744,118,USCGeocoder,50,1,4.1,,b8eb1ceb-958a-4f00-9285-e378058bab3b,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6771.074823661,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0361998926,-117.9373000914,Relaxed,TwoThousandTen,36490,4472,31084,90810,0,31100,1000,1,4078.02,37,6,1,ResidenceStreetAddress
160 East Holt Ave.,Pomona,CA,91767,119,USCGeocoder,38,1,4.1,,34a0bc2a-9836-401a-9d3b-fc23cf6bb598,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4440.7545007244,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0623210628,-117.7489726867,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,1003,1,4088,37,6,1,ResidenceStreetAddress
1660 W. Mission Rd,Pomona,CA,91766,120,USCGeocoder,25,1,4.1,,51b196df-c384-4dbe-b09d-585448dc34ae,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4433.1996498727,LinearInterpolationAddressRange,StreetSegment,94.0828402367,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0536789478,-117.7788703325,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1015,1,4024.02,37,6,1,ResidenceStreetAddress
1660 West Mission Blvd,Pomona,CA,91768,121,USCGeocoder,8,1,4.1,,5b8309e8-2d0c-4aa9-849f-c696082edbfc,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4433.1996498727,LinearInterpolationAddressRange,StreetSegment,96.0059171598,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0536789478,-117.7788703325,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1015,1,4024.02,37,6,1,ResidenceStreetAddress
1671 Beverly Blvd.,Los Angeles,CA,90026,122,USCGeocoder,91,1,4.1,,1913802f-e233-4bde-9885-d161291b017a,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4207.1398223178,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0644011832,-118.265032258,Exact,TwoThousandTen,44000,4472,31084,91750,0,31100,1005,1,2083.02,37,6,1,ResidenceStreetAddress
1690 S. White Ave.,Pomona,CA,91766,123,USCGeocoder,53,1,4.1,,d242f93a-6717-43ad-a8b4-afe053e9b1e9,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2031.9564872258,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0407437224,-117.7581750945,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,3000,3,4030,37,6,1,ResidenceStreetAddress
171 S Gless Street,Los Angeles,CA,90033,124,USCGeocoder,63,1,4.1,,8d0da397-98d2-40a1-b5d9-d51f2e20a51b,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5241.8771112203,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0466484364,-118.2230339923,Exact,TwoThousandTen,44000,4472,31084,91750,0,31100,1000,1,2060.32,37,6,1,ResidenceStreetAddress
1725 Main St,Santa Monica,CA,90401,125,USCGeocoder,43,1,4.1,,4d287d41-2a60-40ea-988e-9659bcb4da29,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,18085.0072391487,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0111500032,-118.4916076838,Exact,TwoThousandTen,70000,4472,31084,92920,0,31100,3010,3,7019.02,37,6,1,ResidenceStreetAddress
1727 S. Garey Ave.,Pomona,CA,NA,126,USCGeocoder,50,1,4.1,,367f7e14-53e4-4579-93ce-be5f61cfd19b,98,Unknown,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,423966.987,ArealInterpolationGeometricCentroid,State,100,FeatureClassBased,ReturnAll,,StateCentroid,,,0,37.2400490281,-119.5032355358,Exact,TwoThousandTen,,680,,92220,0,31460,3044,3,1.02,39,6,9,Missing
1730 W. Olympic Blvd,Los Angeles,CA,90015,127,USCGeocoder,94,1,4.1,,b4f32e3c-33a2-4fc6-8410-e46db91a0a70,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1503.2868517109,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.049903107,-118.2760010521,Exact,TwoThousandTen,44000,4472,31084,91750,0,31100,1005,1,2095.2,37,6,1,ResidenceStreetAddress
17328 Amar Rd,La Puente,CA,91746,128,USCGeocoder,6,1,4.1,,1c0a024f-4aaf-4137-8ea5-213d49912bf1,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.049002,-117.979948,Exact,TwoThousandTen,40340,4472,31084,90810,0,31100,1002,1,4071.02,37,6,4,ResidenceZIP
1750 W. Holt Ave.,Pomona,CA,91768,129,USCGeocoder,38,1,4.1,,81bcb19e-0ee5-4591-9f3b-9e45d4ba3d2d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5839.0743483165,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0615445025,-117.7801651491,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,1002,1,4024.02,37,6,1,ResidenceStreetAddress
1753 N. Park Ave.,Pomona,CA,91768,130,USCGeocoder,150,1,4.1,,3b8756f3-0bcc-46a2-9d63-0572dee64d0d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3172.0502037746,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0774274423,-117.7528065888,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,2002,2,4022,37,6,1,ResidenceStreetAddress
1754 Taft Ave,Los Angeles,CA,90028,131,USCGeocoder,15,1,4.1,,8817c5b2-a34c-465d-915f-001d302a7776,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,752.1186695099,ArealInterpolationGeometricCentroid,Parcel,99.1568047337,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.1032684854,-118.3144071482,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,2001,2,1903.01,37,6,1,ResidenceStreetAddress
1760 W. Cameron,West Covina,CA,91790,132,USCGeocoder,75,1,4.1,,34bcfa0c-1c40-4422-9f27-35632df05aeb,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6138.8742727242,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0701019914,-117.9443730275,Relaxed,TwoThousandTen,84200,4472,31084,90810,0,31100,1012,1,4067.02,37,6,1,ResidenceStreetAddress
1760 West Cameron Ave,West Covina,CA,91790,133,USCGeocoder,6,1,4.1,,228f0284-1019-4460-bc56-495c61179c13,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6138.8742727242,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0701019914,-117.9443730275,Exact,TwoThousandTen,84200,4472,31084,90810,0,31100,1012,1,4067.02,37,6,1,ResidenceStreetAddress
1770 Summer Ave.,Claremont,CA,NA,134,USCGeocoder,144,1,4.1,,ddfe4e9d-a1fa-430d-beaf-2c1a34da0294,11,CityCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,35717627.7147696,ArealInterpolationGeometricCentroid,City,100,FeatureClassBased,ReturnAll,,CityCentroid,,,0,34.1259523388,-117.7155292863,Exact,TwoThousandTen,13756,4472,31084,90810,0,31100,2025,2,4002.06,37,6,9,Missing
17800 E. Renault St.,La Puente,CA,91744,135,USCGeocoder,76,1,4.1,,968bf0c8-cbd5-4de6-a2df-499125904ede,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1909.9322399609,LinearInterpolationAddressRange,StreetSegment,96.9230769231,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0140394661,-117.9137618373,Relaxed,TwoThousandTen,73290,4472,31084,90810,0,31100,1009,1,4081.39,37,6,1,ResidenceStreetAddress
1801 Huntington Dr.,Duarte,CA,91010,136,USCGeocoder,41,1,4.1,,b1a833a2-3f65-48cb-9b9f-6941dfaaddc3,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4387.2683498384,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1396619056,-117.9665977702,Relaxed,TwoThousandTen,19990,4472,31084,93510,0,31100,3011,3,4300.02,37,6,1,ResidenceStreetAddress
18047 Valley Blvd,City of Industry,CA,91744,137,USCGeocoder,28,1,4.1,,a537670c-1b6a-4619-b879-05cf50009758,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,896.2082047015,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0067776711,-117.9088128276,Relaxed,TwoThousandTen,36490,4472,31084,90810,0,31100,1011,1,4081.4,37,6,1,ResidenceStreetAddress
1818 N. Orange Grove Ste 205,Pomona,CA,91768,138,USCGeocoder,135,1,4.1,,bdc4f179-94a9-4e67-b971-c77193e5d49e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2289.1538710669,LinearInterpolationAddressRange,StreetSegment,90.0887573964,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0770867441,-117.7488034811,Relaxed;Soundex,TwoThousandTen,58072,4472,31084,90810,0,31100,3004,3,4021.02,37,6,1,ResidenceStreetAddress
1824 4th Ave.,Los Angeles,CA,90019,139,USCGeocoder,427,1,4.1,,21f2333c-97bd-4c63-aeae-c065d18db1ba,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4557.9153976964,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0406165032,-118.3211754686,Exact,TwoThousandTen,44000,4472,31084,91750,0,31100,3003,3,2181.2,37,6,1,ResidenceStreetAddress
1851 Tyburn St,Glendale,CA,91204,140,USCGeocoder,126,1,4.1,,5ef68dfd-c22a-4c22-bad9-e53fa1afa5a3,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.13345,-118.262119,Exact,TwoThousandTen,30000,4472,31084,92785,0,31100,2007,2,3024.01,37,6,4,ResidenceZIP
18555 Fajardo St,Rowland Heights,CA,91748,141,USCGeocoder,53,1,4.1,,6f847e89-c2c2-4479-8ff9-330cf5c0564e,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,33.979568,-117.898437,Exact,TwoThousandTen,63218,4472,31084,90810,0,31100,1016,1,4087.23,37,6,4,ResidenceZIP
18821 Arrow Highway,Covina,CA,91722,142,USCGeocoder,18,1,4.1,,10145f3c-a3db-4e77-8fe7-a93e1645d985,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,8724.619115388,ArealInterpolationGeometricCentroid,Parcel,94.2603550296,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.1073613626,-117.8830204606,Relaxed,TwoThousandTen,13560,4472,31084,90810,0,31100,4000,4,4040,37,6,1,ResidenceStreetAddress
1890 N. Garey Ave.,Pomona,CA,91767,143,USCGeocoder,44,1,4.1,,5399a655-fae2-45e9-93b8-b70c7b756fce,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2270.4190558195,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0802115307,-117.752223142,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,3011,3,4021.02,37,6,1,ResidenceStreetAddress
1901 S. San Gabriel Blvd,San Gabriel,CA,91776,144,USCGeocoder,1,1,4.1,,506c3fd3-b3c6-40bc-9cd0-4b5a89acad97,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,485.1480377316,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0746903322,-118.0910227292,Relaxed,TwoThousandTen,67042,4472,31084,93200,0,31100,1004,1,4823.01,37,6,1,ResidenceStreetAddress
1905 LINCOLN AVE,Pasadena,CA,91103,145,USCGeocoder,18,1,4.1,,5206d65e-4d78-4de2-ab0b-d0d94072ad97,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,73078.6535955668,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.1779488331,-118.1615392335,Relaxed,TwoThousandTen,56000,4472,31084,92400,0,31100,4024,4,4609,37,6,1,ResidenceStreetAddress
191 N. Oak Ave,Pasadena,CA,91107,146,USCGeocoder,140,1,4.1,,fd24f60e-a60b-4d1e-b6ad-2710da4b169c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1744.9296832327,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1497351409,-118.1077397893,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,2008,2,4627,37,6,1,ResidenceStreetAddress
1921 Arroyo Avenue,Pomona,CA,NA,147,USCGeocoder,134,1,4.1,,301c83db-ac2b-4660-8432-fd04f9c4d64d,98,Unknown,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,423966.987,ArealInterpolationGeometricCentroid,State,100,FeatureClassBased,ReturnAll,,StateCentroid,,,0,37.2400490281,-119.5032355358,Exact,TwoThousandTen,,680,,92220,0,31460,3044,3,1.02,39,6,9,Missing
1921 N. Garey Ave,Pomona,CA,NA,148,USCGeocoder,13,1,4.1,,b1edc6d1-cc15-4fa6-9364-1046861c4e3a,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1681.7358887619,ArealInterpolationGeometricCentroid,Parcel,96.7455621302,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0812573342,-117.7530580735,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1020,1,4022,37,6,1,ResidenceStreetAddress
1930 Wilshire Blvd.,Los Angeles,CA,90057,149,USCGeocoder,20,1,4.1,,0e03c373-7ee9-4dd4-abb3-fe7d7b836282,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3135.5580157638,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.056866983,-118.2746235717,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,1003,1,2089.02,37,6,1,ResidenceStreetAddress
20 Hidden Valley Rd,Pomona,CA,91769,150,USCGeocoder,79,1,4.1,,d3e9cf2e-47b4-4fa9-9ade-9d8aa65bcba4,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2132.6839172826,LinearInterpolationAddressRange,StreetSegment,96.0059171598,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0276281731,-117.7749013464,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,2004,2,4033.17,37,6,1,ResidenceStreetAddress
200 Drake St.,Pomona,CA,NA,151,USCGeocoder,24,1,4.1,,01094c5a-148a-4562-bc99-c46d5ae4e224,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,18472.1820342317,ArealInterpolationGeometricCentroid,Parcel,96.7455621302,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.1053002348,-117.7513349693,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1004,1,4017.03,37,6,1,ResidenceStreetAddress
200 North Second Ave,Covina,CA,91723,152,USCGeocoder,15,1,4.1,,7bd6ab31-8e58-4ed9-a90b-baad58df096e,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,8231.7813265073,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0877744851,-117.8869282052,Relaxed;Soundex,TwoThousandTen,16742,4472,31084,90810,0,31100,2025,2,4061.01,37,6,1,ResidenceStreetAddress
2008 N. Garey Ave.,Pomona,CA,91767,153,USCGeocoder,40,1,4.1,,48318a50-fe3d-442c-86e6-cd3ccaee82a7,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3861.2381197214,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.082754963,-117.7523349956,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,2006,2,4021.02,37,6,1,ResidenceStreetAddress
201470A Yellow brick Rd.,Walnut,CA,91789,154,USCGeocoder,111,1,4.1,,52329810-507a-4cce-8ecc-7eb4bfb3e67f,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.014965,-117.856127,Exact,TwoThousandTen,83332,4472,31084,90810,0,31100,1013,1,4034.02,37,6,4,ResidenceZIP
